tweet_id,favorite_count,retweet_count
669371483794317312,513,188
669375718304980992,1377,761
669393256313184256,376,79
669564461267722241,398,129
669567591774625800,241,59
669571471778410496,1627,1054
669573570759163904,447,150
669583744538451968,1534,977
669597912108789760,527,158
669603084620980224,974,388
669625907762618368,3653,1899
669661792646373376,832,460
669680153564442624,692,301
669682095984410625,366,137
669683899023405056,404,114
669684865554620416,538,91
669749430875258880,278,67
669753178989142016,837,423
669923323644657664,243,59
669926384437997569,391,110
669942763794931712,524,175
669970042633789440,311,63
669972011175813120,457,168
669993076832759809,335,87
670003130994700288,342,96
670037189829525505,605,292
670040295598354432,773,115
670046952931721218,667,184
670055038660800512,690,346
670061506722140161,787,362
670069087419133954,650,255
670073503555706880,1618,830
670079681849372674,2299,1315
670086499208155136,719,261
670093938074779648,1068,354
670290420111441920,728,298
670303360680108032,440,141
670319130621435904,3977,1295
670338931251150849,440,117
670361874861563904,338,69
670374371102445568,765,280
670385711116361728,578,222
670403879788544000,446,164
670408998013820928,574,234
670411370698022913,2104,949
670417414769758208,584,337
670420569653809152,649,331
670421925039075328,1355,672
670427002554466305,535,173
670428280563085312,1431,668
670433248821026816,335,119
670434127938719744,1449,677
670435821946826752,1087,550
670442337873600512,670,206
670444955656130560,6923,2072
670449342516494336,1227,702
670452855871037440,566,217
670465786746662913,1006,581
670468609693655041,363,89
670474236058800128,1579,801
670668383499735048,11080,5291
670676092097810432,260,45
670679630144274432,771,303
670691627984359425,607,253
670704688707301377,783,387
670717338665226240,1250,519
670727704916926465,856,383
670733412878163972,990,532
670755717859713024,459,119
670764103623966721,1107,443
670778058496974848,339,75
670780561024270336,799,297
670782429121134593,1624,817
670783437142401025,844,414
670786190031921152,622,211
670789397210615808,684,251
670792680469889025,861,289
670797304698376195,753,248
670803562457407488,349,91
670804601705242624,2035,996
670807719151067136,1183,514
670811965569282048,1164,283
670815497391357952,3275,1626
670822709593571328,630,101
670823764196741120,799,199
670826280409919488,5753,4272
670832455012716544,760,230
670833812859932673,461,128
670838202509447168,1151,731
670840546554966016,614,205
670842764863651840,25362,9213
670995969505435648,1138,305
671109016219725825,1179,459
671115716440031232,1398,809
671122204919246848,3616,2651
671134062904504320,771,202
671138694582165504,961,423
671141549288370177,1206,687
671147085991960577,692,241
671151324042559489,692,160
671154572044468225,744,228
671159727754231808,387,85
671163268581498880,1712,1163
671166507850801152,900,370
671182547775299584,1156,358
671186162933985280,757,225
671347597085433856,999,453
671355857343524864,492,118
671357843010908160,415,154
671362598324076544,1150,308
671390180817915904,1463,771
671485057807351808,786,241
671486386088865792,604,214
671488513339211776,1045,492
671497587707535361,950,468
671504605491109889,7266,3710
671511350426865664,1666,761
